"","COUNTRY","NUM_OCCURENCES","COMPLETENESS","MEAN_NUM_SOCMEDPROFS","LI_NUM","TW_NUM","FB_NUM","MEAN_LI_CONNECTIONS"
"42","Texas Area"," 2","0.2272727","1.000000","11.000000","0.0000000","0.00000000"," 77.00000"
"43","Algeria"," 1","0.4888889","2.000000"," 9.000000","0.0000000","2.00000000","130.00000"
"44","Angola"," 1","0.2500000","1.000000","10.000000","0.0000000","0.00000000","141.00000"
"45","Argentina"," 1","0.3181818","1.000000","11.000000","0.0000000","0.00000000"," 10.00000"
"46","California"," 1","0.3181818","1.000000","12.000000","0.0000000","0.00000000","130.00000"
"47","Colombia"," 1","0.3181818","1.000000","11.000000","0.0000000","0.00000000","103.00000"
"48","Colorado Area"," 1","0.5454545","2.000000","12.000000","5.0000000","0.00000000","130.00000"
"49","Croatia"," 1","0.3333333","1.000000","12.000000","0.0000000","0.00000000","130.00000"
"50","Greater Minneapolis-St. Paul Area"," 1","0.2954545","1.000000","10.000000","0.0000000","0.00000000","123.00000"
"51","Greater Seattle Area"," 1","0.8181818","3.000000","13.000000","8.0000000","1.00000000"," 56.00000"
"52","Greece"," 1","0.3181818","1.000000","12.000000","0.0000000","0.00000000"," 42.00000"
"53","Hawaii"," 1","0.3333333","1.000000","11.000000","0.0000000","0.00000000"," 98.00000"
"54","Hungary area"," 1","0.3181818","1.000000","13.000000","0.0000000","0.00000000","130.00000"
"55","Jordan"," 1","0.3333333","1.000000","10.000000","0.0000000","0.00000000","  8.00000"
"56","Kansas"," 1","0.2444444","1.000000","13.000000","0.0000000","0.00000000","130.00000"
"57","Kenya"," 1","0.3111111","1.000000","12.000000","0.0000000","0.00000000"," 70.00000"
"58","Kuwait"," 1","0.2954545","1.000000","12.000000","0.0000000","0.00000000"," 18.00000"
"59","Massachusetts"," 1","0.5227273","2.000000","12.000000","0.0000000","4.00000000","130.00000"
"60","Miami/Fort Lauderdale Area"," 1","0.2954545","1.000000","13.000000","0.0000000","0.00000000","130.00000"
"61","Minnesota"," 1","0.5454545","2.000000","13.000000","3.0000000","0.00000000","130.00000"
"62","Morocco"," 1","0.2444444","1.000000","11.000000","0.0000000","0.00000000"," 37.00000"
"63","Nebraska"," 1","0.2272727","1.000000","11.000000","0.0000000","0.00000000","142.00000"
"64","New Jersey"," 1","0.2272727","1.000000"," 9.000000","0.0000000","0.00000000"," 69.00000"
"65","New Zealand"," 1","0.2954545","1.000000","12.000000","0.0000000","0.00000000"," 24.00000"
"66","Ohio"," 1","0.3181818","1.000000","13.000000","0.0000000","0.00000000","148.00000"
"67","Oregon"," 1","0.2954545","1.000000","12.000000","0.0000000","0.00000000","130.00000"
"68","Peru"," 1","0.3181818","1.000000"," 7.000000","0.0000000","0.00000000","  6.00000"
"69","Philippines"," 1","0.2272727","1.000000"," 9.000000","0.0000000","0.00000000","  2.00000"
"70","Romania"," 1","0.2954545","1.000000","11.000000","0.0000000","0.00000000"," 74.00000"
"71","Sultanate of Oman"," 1","0.4545455","2.000000","11.000000","0.0000000","0.00000000","130.00000"
"72","Texas"," 1","0.2954545","1.000000","13.000000","0.0000000","0.00000000"," 73.00000"
"73","Togo"," 1","0.1777778","1.000000"," 9.000000","0.0000000","0.00000000","  3.00000"
"74","Turkey"," 1","0.2888889","1.000000","12.000000","0.0000000","0.00000000"," 36.00000"
